Year,Make,Make,Model,Engine,No_Of_Cylinder,Size,Fuel_Type,No_Of_Cylinder,Fuel_Type
2015,Ram,DODGE,RAM 1500 PICKUP,V8-345  5.7L,8,5.7L,,8,
2015,Ram,DODGE,RAM 2500 PICKUP,6-408  6.7L Dsl,6,6.7L,Diesel,6,Diesel
2015,Ram,DODGE,RAM 2500 PICKUP,V8-345  5.7L,8,5.7L,,8,
2015,Ram,DODGE,RAM 2500 PICKUP,V8-392  6.4L,8,6.4L,,8,
2015,Ram,DODGE,RAM 3500 PICKUP,6-408  6.7L Dsl,6,6.7L,Diesel,6,Diesel
2015,Ram,DODGE,RAM 3500 PICKUP,V8-345  5.7L,8,5.7L,,8,
2015,Ram,DODGE,RAM 3500 PICKUP,V8-392  6.4L,8,6.4L,,8,
2015,Ram,DODGE,RAM CARGO VAN,V6-3604 3.6L DOHC,6,3.6L,,6,
2015,Dodge,DODGE,VIPER,V10-510 8.4L,10,8.4L,,10,
2015,DODGE-MEDIUM DUTY,DODGE-MEDIUM DUTY,RAM 4500,6-408  6.7L Dsl,6,6.7L,Diesel,6,Diesel
2015,DODGE-MEDIUM DUTY,DODGE-MEDIUM DUTY,RAM 4500,V8-392  6.4L,8,6.4L,,8,
2015,DODGE-MEDIUM DUTY,DODGE-MEDIUM DUTY,RAM 5500,6-408  6.7L Dsl,6,6.7L,Diesel,6,Diesel
2015,DODGE-MEDIUM DUTY,DODGE-MEDIUM DUTY,RAM 5500,V8-392  6.4L,8,6.4L,,8,
2015,Ferrari,FERRARI,458 ITALIA,V8-4499 4.5L DOHC,8,4.5L,,8,
2015,Ferrari,FERRARI,488 GTB,V8-3902 3.9L DOHC,8,3.9L,,8,
2015,Ferrari,FERRARI,CALIFORNIA,V8-3855 3.9L DOHC,8,3.9L,,8,
2015,Ferrari,FERRARI,F12BERLINETTA,V12-6262 6.3L DOHC,12,6.3L,,12,
2015,Ferrari,FERRARI,FF,V12-6262 6.3L DOHC,12,6.3L,,12,
